细分类,英文,可视化目的,视觉定义,适用场景,数据特征,code,extraction
基础条形图,Single Bar Chart,"比较,分布",使用宽度相等的水平或垂直条形，通过条形的长度来表示数值大小的统计图表,用于比较不同类别之间的数值大小、展示排名分布、显示各类别占比情况，适合类别数量适中(通常不超过20个)且需要精确比较数值的场景,需要两列数据：一列为类别(文本型)，一列为对应的数值(数值型)。数据结构要求扁平化，每行表示一个类别及其对应的值,Matplotlib,1
分组条形图,Grouped Bar Chart,"比较,分布",在基础条形图的基础上，每个类别包含多个子类别的条形，这些子类别的条形并排放置，形成分组展示效果的统计图表,用于同时比较多个系列在不同类别下的数值对比，特别适合展示具有层级关系的数据，如不同产品在各个地区的销售额、多个部门在各季度的业绩表现等多维度对比分析,需要至少三列数据：主类别列(文本型)、子类别列(文本型)、数值列(数值型)。数据需要按主类别和子类别进行分组，每行表示一个子类别在特定主类别下的数值,Matplotlib,1
堆叠条形图,Stacked Bar Chart,"比较,分布,组成","基于基础条形图,将每个条形再细分为多个部分,不同部分以不同颜色堆叠在一起,每个部分的长度代表该类别下不同子项的数值大小,所有部分长度之和代表总量","适用于展示整体与部分的关系,比较不同类别的总量及其内部构成,分析各组成部分的占比变化。常用于人口结构、收入构成、市场份额等数据的可视化",需要至少三列数据：一列为主类别(文本型)，一列为子类别(文本型)，一列为对应的数值(数值型)。数据需要按主类别和子类别分组,Matplotlib,1
正负条形图,Positive-Negative Bar Chart,比较,使用水平或垂直条形展示正负两个方向的数值，通常以零点为基准线，向两侧延伸的统计图表,用于展示具有正负值的对比数据，如收支盈亏、温度变化、人口增减、市场涨跌等双向对比场景，特别适合展示偏差、变化量或相对基准的差异,需要至少两列数据：一列为类别(文本型)，一列为可正可负的数值(数值型)。数据必须包含正负值，且有明确的零点基准,Plotly,1
双向柱图,Bidirectional Bar Chart,"比较,分布",在一个中轴线左右两侧分别展示相关数据的柱状图，常以零轴或均值为中轴，向两侧延伸展示对比数据,适用于展示两个相对的维度数据对比，如男女比例、正负值对比、收入支出对比、前后对比等需要突出对立关系的场景,需要三列数据：一列为类别(文本型)，两列为对应的左右对比值(数值型)。每行表示一个类别及其对应的两个对比值,Plotly,1
蝴蝶图,Butterfly Diagram,"比较,分布",以中轴线为对称轴，左右两侧呈镜像分布的图表，形似蝴蝶翅膀，可以是条形图或人口金字塔等形式,适用于人口结构分析、年龄性别分布对比、组织架构对称分析等需要展示对称性或相似性比较的场景,需要三列数据：一列为共同的分组依据(如年龄段)，两列为左右对称的数据值。数据需成对出现，且左右两侧数据具有对应关系,Plotly,1
区间柱状图,Range Bar Chart,"比较,分布",每个柱子显示数据的范围区间，通常用一个柱子表示最小值到最大值的范围，可带有中间值标记,适用于展示数据的波动范围、置信区间、最大最小值范围、数据抖动情况等需要表现数据分布区间的场景,需要至少三列数据：一列为类别(文本型)，两列为区间的上下限值(数值型)。可选添加中间值、均值等统计量,Matplotlib,1
瀑布图,Waterfall Plot,"组成,流向","连续的正负柱形图,展示累积效果",分析财务报表、成本构成、利润贡献等需要展示累积效果的场景,"可累加的连续数据,每个值都基于前值增减",Matplotlib,1
蜡烛图,Candlestick Plot,"分布,趋势","使用矩形柱体和垂直线条组成的金融图表,每根蜡烛由开盘价、收盘价、最高价和最低价四个价格点组成。矩形实体表示开收价格区间,上下影线表示最高最低价格","主要用于金融证券、期货、外汇等金融市场的价格走势分析,可以直观显示一段时期内的价格波动和趋势变化","需要时间序列数据,每个时间点必须包含开盘价、收盘价、最高价、最低价四个数据值。数据通常具有连续性和时序性",Plotly,0
基础直方图,Single Histograms,分布,"由一系列等宽矩形柱组成,高度表示频数或频率的统计图","展示连续型数值变量的分布情况,如年龄分布、成绩分布等","连续型数值变量,需要分组统计频率",Matplotlib,0
